Row Labels,Average of AVG_DEPTH,Average of Percent_Cvr
Siderastrea siderea,1.828799941,3
Turf Algae Free of Sediment,1.752599944,23
1140,9.184639706,7
Bare Substrate,9.143999707,32.5
Dictyota spp,9.143999707,19.5
Encrusting gorgonian,9.143999707,1
Erythropodium caribaeorum,9.448799698,4
Gorgonians,9.143999707,1
Halimeda spp,9.143999707,3.5
Lobophora spp,9.448799698,1
MacroOtherFleshy,9.448799698,1
Millepora spp,8.839199717,1
Other species,9.448799698,1
Porifera spp,9.143999707,7
Porites astreoides,8.839199717,2
Porites divaricata,9.143999707,2
Rhodophyta cru. spp,9.143999707,5.5
Turf Algae Free of Sediment,9.143999707,23
1141,5.669279819,6.666666667
Acropora cervicornis,6.095999805,1
Agaricia agaricites,6.095999805,2
Bare Substrate,5.63879982,27
Cliona spp,6.095999805,1
Cyanophyta spp,5.63879982,1.5
Dictyota spp,5.63879982,27
Encrusting gorgonian,5.181599834,1
Erythropodium caribaeorum,5.181599834,1
Gorgonians,5.63879982,2.5
Halimeda spp,5.63879982,2.5
Orbicella annularis,6.095999805,1
Orbicella faveolata,5.63879982,2
Palythoa spp,5.63879982,2
Peysonnellia,5.181599834,6
Porifera spp,5.63879982,2
Porites furcata,5.181599834,2
Porites porites,6.095999805,1
Rhodophyta cru. spp,5.63879982,9.5
Siderastrea siderea,6.095999805,1
Turf Algae Free of Sediment,5.63879982,15.5
1142,5.153024835,6.4375
Bare Substrate,5.181599834,19.5
Dichocoenia stokesii,5.029199839,2
Dictyota spp,5.181599834,11.5
Encrusting gorgonian,5.181599834,1
Erythropodium caribaeorum,5.181599834,4
Gorgonians,5.181599834,2
Halimeda spp,5.181599834,3.5
MacroOtherFleshy,5.029199839,1
Peysonnellia,5.181599834,2
Porifera spp,5.181599834,7.5
Porites astreoides,5.029199839,1
Porites furcata,5.333999829,1
Rhodophyta cru. spp,5.181599834,9.5
Siderastrea siderea,5.181599834,2
Stephanocoenia intersepta,5.029199839,1
Turf Algae Free of Sediment,5.181599834,34.5
1144,4.448174858,6.4375
Bare Substrate,4.495799856,5.5
Dichocoenia stokesii,4.114799868,1
Dictyota spp,4.495799856,34
Erythropodium caribaeorum,4.876799844,3
Gorgonians,4.495799856,4.5
Halimeda spp,4.495799856,3
MacroOtherFleshy,4.495799856,1.5
Millepora spp,4.495799856,1.5
Other species,4.495799856,3
Palythoa spp,4.495799856,7
Peysonnellia,4.495799856,3.5
Porifera spp,4.495799856,4.5
Porites astreoides,4.114799868,1
Porites porites,4.114799868,1
Rhodophyta cru. spp,4.495799856,7
Turf Algae Free of Sediment,4.495799856,22
1146,5.333999829,4.977272727
Agaricia agaricites,5.333999829,1.5
Bare Substrate,5.333999829,16
Colpophyllia natans,5.486399824,2
Cyanophyta spp,5.486399824,1
Dichocoenia stokesii,5.486399824,1
Dictyota spp,5.333999829,16
Erythropodium caribaeorum,5.486399824,6
Gorgonians,5.333999829,3.5
Halimeda spp,5.333999829,8
MacroOtherFleshy,5.181599834,2
Millepora spp,5.333999829,3.5
Montastraea cavernosa,5.486399824,1
Orbicella faveolata,5.181599834,1
Other species,5.181599834,1
Palythoa spp,5.333999829,8.5
Peysonnellia,5.181599834,3
Porifera spp,5.333999829,3.5
Porites astreoides,5.333999829,1
Porites porites,5.181599834,1
Rhodophyta cru. spp,5.333999829,4
Siderastrea siderea,5.333999829,1.5
Turf Algae Free of Sediment,5.333999829,23.5
1147,4.335378809,5.447368421
Agaricia agaricites,4.267199863,1
Bare Substrate,4.343399861,22.5
Dictyota spp,4.343399861,19.5
Erythropodium caribaeorum,4.343399861,3
Gorgonians,4.343399861,1.5
Halimeda spp,4.343399861,6
Lobophora spp,4.419599859,1
MacroOtherFleshy,4.343399861,2.5
Millepora spp,4.267199863,1
Other species,4.343399861,2.5
Palythoa spp,4.343399861,3
Peysonnellia,4.343399861,2
Porifera spp,4.343399861,4.5
Porites astreoides,4.419599859,1
Porites porites,4.267199863,1
Rhodophyta cru. spp,4.343399861,7
Siderastrea siderea,4.343399861,1.5
Stephanocoenia intersepta,4.267199863,2
Turf Algae Free of Sediment,4.343399861,21
1148,5.33399983,6.25
Bare Substrate,5.33399983,6.5
Colpophyllia natans,5.029199839,13
Cyanophyta spp,5.029199839,1
Dictyota spp,5.33399983,29
Encrusting gorgonian,5.63879982,1
Erythropodium caribaeorum,5.33399983,2
Gorgonians,5.33399983,4
Halimeda spp,5.33399983,6.5
MacroOtherFleshy,5.63879982,1
Montastraea cavernosa,5.33399983,1.5
Orbicella annularis,5.63879982,1
Orbicella faveolata,5.33399983,3.5
Other species,5.33399983,1
Palythoa spp,5.029199839,1
Peysonnellia,5.33399983,4.5
Porifera spp,5.33399983,3.5
Porites astreoides,5.63879982,2
Rhodophyta cru. spp,5.33399983,6.5
Siderastrea siderea,5.029199839,11
Turf Algae Free of Sediment,5.33399983,16
1149,4.853353691,7.807692308
Agaricia agaricites,4.876799844,3
Bare Substrate,4.876799844,8.5
Cyanophyta spp,4.876799844,8
Dictyota spp,4.876799844,4.5
Halimeda spp,5.181599834,1
Millepora spp,4.876799844,2.5
Palythoa spp,4.571999854,1
Peysonnellia,4.571999854,1
Porifera spp,4.876799844,1.5
Porites porites,4.876799844,1
Rhodophyta cru. spp,4.876799844,17
Siderastrea siderea,4.876799844,2
Turf Algae Free of Sediment,4.876799844,50.5
1150,4.724399849,6.866666667
Bare Substrate,4.724399849,16.5
Dictyota spp,4.724399849,14
Erythropodium caribaeorum,4.724399849,1.5
Gorgonians,4.724399849,1.5
Halimeda spp,4.724399849,1
MacroOtherFleshy,4.724399849,26.5
Millepora spp,4.724399849,1
Orbicella faveolata,4.724399849,7.5
Palythoa spp,4.724399849,2
Peysonnellia,4.724399849,2
Porifera spp,4.724399849,3
Rhodophyta cru. spp,4.724399849,5.5
Siderastrea siderea,4.724399849,1.5
Stephanocoenia intersepta,4.724399849,2
Turf Algae Free of Sediment,4.724399849,17.5
1151,4.468905739,6.176470588
Agaricia agaricites,4.724399849,1
Bare Substrate,4.495799856,35.5
Dictyota spp,4.495799856,13.5
Encrusting gorgonian,4.267199863,1
Erythropodium caribaeorum,4.495799856,2
Gorgonians,4.267199863,1
Halimeda spp,4.495799856,2
MacroOtherFleshy,4.267199863,1
Millepora spp,4.495799856,1.5
Other species,4.267199863,1
Palythoa spp,4.495799856,2.5
Porifera spp,4.495799856,3.5
Porites astreoides,4.724399849,1
Rhodophyta cru. spp,4.495799856,9
Siderastrea siderea,4.267199863,1
Stephanocoenia intersepta,4.724399849,3
Turf Algae Free of Sediment,4.495799856,25.5
1152,2.005263094,5.684210526
Agaricia agaricites,1.981199937,3
Bare Substrate,1.981199937,3
Cyanophyta spp,2.133599932,6
Dictyota spp,1.981199937,16
Encrusting gorgonian,1.828799941,1
Erythropodium caribaeorum,1.981199937,2.5
Gorgonians,1.981199937,8.5
Halimeda spp,1.981199937,14
Millepora spp,1.828799941,1
Montastraea cavernosa,2.133599932,2
Orbicella annularis,2.133599932,4
Other species,1.981199937,2.5
Peysonnellia,1.981199937,7.5
Porifera spp,1.981199937,2.5
Porites astreoides,1.981199937,10.5
Rhodophyta cru. spp,1.981199937,7.5
Siderastrea radians,2.133599932,1
Siderastrea siderea,2.133599932,1
Turf Algae Free of Sediment,1.981199937,14.5
1155,4.114799868,12.16666667
Bare Substrate,4.114799868,22
Dictyota spp,4.114799868,3
Halimeda spp,4.114799868,3
MacroOtherFleshy,4.114799868,11
Magnoliophyta spp,4.114799868,2
Porifera spp,4.114799868,2
Rhodophyta cru. spp,4.114799868,2
Siderastrea siderea,4.114799868,1
Turf Algae Free of Sediment,4.114799868,63.5
1157,7.249159768,6.966666667
Bare Substrate,7.238999768,11.5
Dictyota spp,7.238999768,37
Encrusting gorgonian,7.238999768,1.5
Erythropodium caribaeorum,7.238999768,1
Gorgonians,7.238999768,2
Lobophora spp,7.315199766,5
MacroOtherFleshy,7.238999768,9.5
Millepora spp,7.238999768,1
Other species,7.238999768,6
Palythoa spp,7.315199766,2
Peysonnellia,7.315199766,1
Porifera spp,7.238999768,5.5
Porites porites,7.162799771,1
Rhodophyta cru. spp,7.238999768,8
Turf Algae Free of Sediment,7.238999768,12.5
1158,2.895599907,12.5
Bare Substrate,2.895599907,16
Dictyota spp,2.895599907,21
MacroOtherCalcareous,2.895599907,3
MacroOtherFleshy,2.895599907,20
Porifera spp,2.895599907,6
Siderastrea siderea,2.895599907,2
Turf Algae Free of Sediment,2.895599907,7
Turf Algae with Sediment,2.895599907,25
1159,8.549639727,10.3
Agaricia agaricites,8.381999732,1
Bare Substrate,8.534399727,14
Cyanophyta spp,8.381999732,1
Dictyota spp,8.534399727,23.5
Gorgonians,8.686799722,2
MacroOtherFleshy,8.534399727,1.5
Millepora spp,8.686799722,1
Porifera spp,8.686799722,1
Rhodophyta cru. spp,8.534399727,3.5
Turf Algae Free of Sediment,8.534399727,54.5
1161,7.162799771,5.833333333
Agaricia agaricites,7.162799771,3
Bare Substrate,7.162799771,7
Dichocoenia stokesii,7.162799771,1
Dictyota spp,7.162799771,31
Gorgonians,7.162799771,1.5
Halimeda spp,7.162799771,1.5
MacroOtherFleshy,7.162799771,1
Millepora spp,7.162799771,2
Other species,7.162799771,1
Peysonnellia,7.162799771,1
Porifera spp,7.162799771,3.5
Porites astreoides,7.162799771,1
Porites divaricata,7.162799771,1
Porites furcata,7.162799771,1
Porites porites,7.162799771,1
Rhodophyta cru. spp,7.162799771,13.5
Siderastrea siderea,7.162799771,1
Turf Algae Free of Sediment,7.162799771,33
1162,2.895599907,20
Bare Substrate,2.895599907,22
MacroOtherCalcareous,2.895599907,3
MacroOtherFleshy,2.895599907,24
Rhodophyta cru. spp,2.895599907,9
Turf Algae with Sediment,2.895599907,42
1164,5.150427108,9.272727273
Bare Substrate,6.476999793,43.5
Cyanophyta spp,6.400799795,1
Dictyota spp,5.143499836,14.5
Gorgonians,5.181599834,3.5
Halimeda spp,5.181599834,4
Lobophora spp,6.55319979,4
MacroOtherCalcareous,3.809999878,2
MacroOtherFleshy,5.143499836,21.5
Magnoliophyta spp,6.476999793,4
Millepora spp,3.809999878,2
Other species,6.476999793,2.5
Palythoa spp,3.809999878,10
Peysonnellia,3.809999878,2
Porifera spp,5.143499836,2.75
Rhodophyta cru. spp,3.809999878,4
Turf Algae Free of Sediment,6.476999793,11.5
Turf Algae with Sediment,3.809999878,25
1165,6.857999781,12.6875
Bare Substrate,6.857999781,52
Dictyota spp,6.857999781,3.5
Lobophora spp,6.857999781,1.5
MacroOtherFleshy,6.857999781,34.5
Peysonnellia,6.857999781,1
Porifera spp,6.857999781,2
Rhodophyta cru. spp,6.857999781,1
Turf Algae Free of Sediment,6.857999781,6
1166,15.38287451,6.4375
Agaricia agaricites,15.39239951,2
Bare Substrate,15.39239951,32
Cyanophyta spp,15.39239951,2
Dictyota spp,15.39239951,19.5
Erythropodium caribaeorum,15.39239951,1
Gorgonians,15.23999951,1
Halimeda spp,15.39239951,2.5
Lobophora spp,15.39239951,11.5
Millepora spp,15.5447995,2
Montastraea cavernosa,15.23999951,1
Peysonnellia,15.5447995,1
Porifera spp,15.39239951,6.5
Porites astreoides,15.23999951,1
Rhodophyta cru. spp,15.39239951,6
Siderastrea siderea,15.39239951,1
Turf Algae Free of Sediment,15.39239951,13
1167,13.5551329,5.944444444
Agaricia agaricites,13.25879958,2
Bare Substrate,13.63979956,14.5
Cyanophyta spp,13.25879958,3
Dictyota spp,13.63979956,25
Encrusting gorgonian,13.63979956,2
Erythropodium caribaeorum,13.63979956,2.5
Gorgonians,13.63979956,1.5
Halimeda spp,14.02079955,1
Lobophora spp,13.63979956,11
Millepora spp,13.25879958,2
Orbicella faveolata,14.02079955,2
Other species,13.25879958,1
Peysonnellia,13.63979956,3
Porifera spp,13.63979956,13.5
Rhodophyta cru. spp,13.63979956,9
Siderastrea siderea,13.25879958,2
Stephanocoenia intersepta,13.25879958,1
Turf Algae Free of Sediment,13.63979956,11
1168,9.601199693,8.625
Bare Substrate,9.601199693,49.5
Cyanophyta spp,9.601199693,1
Dictyota spp,9.601199693,10.5
Gorgonians,9.601199693,1
Halimeda spp,9.601199693,3
Lobophora spp,9.601199693,1
MacroOtherFleshy,9.601199693,4
Other species,9.601199693,1
Peysonnellia,9.601199693,1
Porifera spp,9.601199693,5.5
Rhodophyta cru. spp,9.601199693,2.5
Turf Algae Free of Sediment,9.601199693,23.5
1170,5.63879982,20.2
Bare Substrate,5.63879982,27
Halimeda spp,5.63879982,1
MacroOtherFleshy,5.63879982,48
Rhodophyta cru. spp,5.63879982,1
Turf Algae Free of Sediment,5.63879982,24
1171,6.089072532,9.272727273
Agaricia agaricites,7.772399751,1
Bare Substrate,5.714999817,16
Cyanophyta spp,7.772399751,1
Dichocoenia stokesii,3.657599883,1
Dictyota spp,7.772399751,23
Gorgonians,5.714999817,1.25
Halimeda spp,5.714999817,3
Lobophora spp,7.772399751,3
Magnoliophyta spp,3.657599883,1
Millepora spp,5.714999817,1
Palythoa spp,7.772399751,2
Peysonnellia,7.772399751,1.5
Porifera spp,5.714999817,5.25
Rhodophyta cru. spp,5.714999817,4
Turf Algae Free of Sediment,7.772399751,29.5
Turf Algae with Sediment,3.657599883,80
1172,10.66799966,8.458333333
Bare Substrate,10.66799966,28.5
Dictyota spp,10.66799966,23.5
MacroOtherCalcareous,10.66799966,1
MacroOtherFleshy,10.66799966,3.5
Millepora spp,10.66799966,1
Other species,10.66799966,3
Porifera spp,10.66799966,3.5
Porites astreoides,10.66799966,1.5
Porites porites,10.66799966,1
Rhodophyta cru. spp,10.66799966,2
Siderastrea siderea,10.66799966,1
Turf Algae Free of Sediment,10.66799966,32
1174,12.3443996,9.363636364
Bare Substrate,12.3443996,11
Cyanophyta spp,12.3443996,1
Dictyota spp,12.3443996,14
Gorgonians,12.3443996,4
MacroOtherCalcareous,12.3443996,1
MacroOtherFleshy,12.3443996,3.5
Other species,12.3443996,1
Porifera spp,12.3443996,4
Rhodophyta cru. spp,12.3443996,2
Siderastrea siderea,12.3443996,1
Turf Algae Free of Sediment,12.3443996,60.5
1176,11.06328715,6.5
Bare Substrate,11.04899965,6.5
Cyanophyta spp,11.04899965,4
Dictyota spp,11.04899965,10.5
Encrusting gorgonian,11.04899965,1
Gorgonians,11.04899965,3
Halimeda spp,11.04899965,1
Lobophora spp,11.27759964,1
MacroOtherCalcareous,11.27759964,3
Millepora spp,11.04899965,1.5
Other species,11.04899965,2
Porifera spp,11.04899965,2
Porites porites,11.27759964,1
Rhodophyta cru. spp,11.04899965,5
Siderastrea radians,10.82039965,1
Siderastrea siderea,10.82039965,2
Turf Algae Free of Sediment,11.04899965,59.5
1184,4.83053556,7.267857143
Agaricia agaricites,5.791199815,1
Bare Substrate,5.714999817,18
Dictyota spp,4.762499848,16.25
Erythropodium caribaeorum,5.791199815,1
Gorgonians,4.724399849,4.5
Halimeda spp,4.762499848,1
Lobophora spp,5.63879982,1
MacroOtherCalcareous,3.809999878,1
MacroOtherFleshy,4.762499848,9.75
Millepora spp,4.800599847,2.5
Other species,5.714999817,5.5
Palythoa spp,3.809999878,5
Peysonnellia,4.724399849,2.5
Porifera spp,4.762499848,1.75
Porites astreoides,3.809999878,2
Porites porites,5.714999817,1
Rhodophyta cru. spp,4.762499848,11.25
Turf Algae Free of Sediment,4.762499848,10.5
Turf Algae with Sediment,3.809999878,48
1185,5.115559837,7
Bare Substrate,5.105399837,25.5
Cyanophyta spp,5.105399837,2.5
Dictyota spp,5.105399837,20
Erythropodium caribaeorum,5.105399837,3
Gorgonians,5.181599834,2
Halimeda spp,5.181599834,6
MacroOtherFleshy,5.105399837,3.5
Millepora spp,5.105399837,2
Other species,5.181599834,1
Palythoa spp,5.029199839,1
Porifera spp,5.105399837,7.5
Porites porites,5.105399837,1.5
Rhodophyta cru. spp,5.105399837,8
Siderastrea siderea,5.105399837,3.5
Turf Algae Free of Sediment,5.105399837,18
1186,4.524374855,6.46875
Agaricia agaricites,4.495799856,1
Bare Substrate,4.724399849,2
Cyanophyta spp,4.495799856,1.5
Dictyota spp,4.495799856,18
Erythropodium caribaeorum,4.724399849,1
Gorgonians,4.495799856,2
Halimeda spp,4.495799856,8
Millepora spp,4.495799856,2.5
Other species,4.495799856,3.5
Palythoa spp,4.495799856,1
Peysonnellia,4.267199863,2
Porifera spp,4.495799856,1
Porites astreoides,4.495799856,2.5
Pseudodiploria strigosa,4.724399849,2
Rhodophyta cru. spp,4.495799856,8.5
Turf Algae Free of Sediment,4.495799856,47
1189,4.353559861,7.066666667
Agaricia agaricites,4.267199863,1
Bare Substrate,4.343399861,2
Cyanophyta spp,4.343399861,1.5
Dictyota spp,4.343399861,23.5
Gorgonians,4.343399861,1.5
Halimeda spp,4.343399861,4
Millepora spp,4.343399861,1
Other species,4.419599859,4
Palythoa spp,4.419599859,4
Peysonnellia,4.343399861,3
Porifera spp,4.267199863,1
Porites astreoides,4.419599859,1
Rhodophyta cru. spp,4.343399861,13.5
Siderastrea siderea,4.419599859,1
Turf Algae Free of Sediment,4.343399861,44
1190,4.443046012,7.923076923
Bare Substrate,4.419599859,3
Cyanophyta spp,4.419599859,3
Dictyota spp,4.419599859,21.5
Gorgonians,4.419599859,3
Halimeda spp,4.419599859,2.5
Millepora spp,4.419599859,1
Other species,4.419599859,1.5
Palythoa spp,4.419599859,8
Peysonnellia,4.571999854,1
Porites astreoides,4.419599859,4
Rhodophyta cru. spp,4.419599859,7
Siderastrea siderea,4.571999854,5
Turf Algae Free of Sediment,4.419599859,42.5
1192,6.857999781,6.147058824
Bare Substrate,6.857999781,18.5
Cyanophyta spp,6.857999781,1
Dictyota spp,6.857999781,26.5
Encrusting gorgonian,6.857999781,1
Erythropodium caribaeorum,6.857999781,1
Gorgonians,6.857999781,2.5
Halimeda spp,6.857999781,4
Lobophora spp,6.857999781,1
MacroOtherCalcareous,6.857999781,1
MacroOtherFleshy,6.857999781,8.5
Millepora spp,6.857999781,1
Other species,6.857999781,1.5
Peysonnellia,6.857999781,1
Porifera spp,6.857999781,7
Porites furcata,6.857999781,2
Rhodophyta cru. spp,6.857999781,6
Turf Algae Free of Sediment,6.857999781,21
1193,6.857999781,7.392857143
Bare Substrate,6.857999781,19
Dictyota spp,6.857999781,26.5
Encrusting gorgonian,6.857999781,1
Erythropodium caribaeorum,6.857999781,2
Gorgonians,6.857999781,2
Lobophora spp,6.857999781,1.5
MacroOtherFleshy,6.857999781,1
Porifera spp,6.857999781,5
Porites astreoides,6.857999781,1
Porites divaricata,6.857999781,2.5
Porites furcata,6.857999781,1
Porites porites,6.857999781,1
Rhodophyta cru. spp,6.857999781,15
Turf Algae Free of Sediment,6.857999781,25
1194,11.72754248,5.142857143
Agaricia agaricites,11.58239963,2
Bare Substrate,11.73479962,25.5
Cyanophyta spp,11.88719962,1
Dictyota spp,11.73479962,16.5
Encrusting gorgonian,11.73479962,12.5
Erythropodium caribaeorum,11.73479962,6
Halimeda spp,11.88719962,3
Lobophora spp,11.73479962,4
MacroOtherCalcareous,11.73479962,1
MacroOtherFleshy,11.73479962,3
Millepora spp,11.58239963,2
Montastraea cavernosa,11.88719962,1
Mycetophyllia danaana,11.58239963,1
Other species,11.73479962,2.5
Peysonnellia,11.58239963,2
Porifera spp,11.73479962,2.5
Porites astreoides,11.73479962,1
Porites furcata,11.58239963,1
Rhodophyta cru. spp,11.73479962,11
Siderastrea siderea,11.88719962,3
Turf Algae Free of Sediment,11.73479962,6.5
1197,7.467599761,20.1
Bare Substrate,7.467599761,38
Halimeda spp,7.467599761,1
MacroOtherCalcareous,7.467599761,1.5
Rhodophyta cru. spp,7.467599761,1
Turf Algae Free of Sediment,7.467599761,59
1198,6.417733128,7.611111111
Agaricia agaricites,6.857999781,1
Bare Substrate,6.400799796,27.5
Cliona spp,6.857999781,1
Dictyota spp,6.400799796,21.75
Gorgonians,6.248399801,2
Halimeda spp,6.857999781,1
Lobophora spp,5.63879982,1
MacroOtherCalcareous,7.467599761,1
MacroOtherFleshy,6.248399801,2
Millepora spp,6.400799796,1.25
Other species,6.248399801,1.5
Palythoa spp,6.857999781,1
Peysonnellia,6.400799796,1.5
Porifera spp,6.400799796,2.25
Rhodophyta cru. spp,7.162799771,17.5
Siderastrea radians,5.63879982,1
Turf Algae Free of Sediment,6.400799796,18.75
Turf Algae with Sediment,5.63879982,24
1199,5.648324819,12.5
Bare Substrate,6.2483998,8
Dictyota spp,5.714999817,41
Gorgonians,5.181599834,2
Halimeda spp,5.714999817,4
MacroOtherCalcareous,6.2483998,1
Millepora spp,5.181599834,5
Other species,5.181599834,1
Peysonnellia,5.181599834,5
Porifera spp,6.2483998,1
Porites astreoides,5.181599834,1
Rhodophyta cru. spp,5.714999817,21
Turf Algae Free of Sediment,5.714999817,22
1201,6.120062962,10.57894737
Bare Substrate,6.400799796,19.52272727
Dictyota spp,5.63879982,16.66666667
Halimeda spp,6.400799796,1.257575758
Lobophora spp,7.162799771,1.5
MacroOtherFleshy,7.162799771,27
Millepora spp,5.63879982,1.515151515
Orbicella faveolata,5.63879982,18.18181818
Palythoa spp,5.63879982,1.515151515
Peysonnellia,5.63879982,4.545454545
Porifera spp,6.400799796,1.257575758
Porites astreoides,5.63879982,4.545454545
Rhodophyta cru. spp,5.63879982,9.090909091
Stephanocoenia intersepta,5.63879982,6.060606061
Turf Algae Free of Sediment,6.400799796,23.30303031
Turf Algae with Sediment,5.63879982,19.6969697
1202,5.029199839,8.076923077
Bare Substrate,5.029199839,47
Dictyota spp,5.029199839,1
Erythropodium caribaeorum,5.029199839,1
Gorgonians,5.029199839,1.5
Halimeda spp,5.029199839,1.5
Lobophora spp,5.029199839,3.5
MacroOtherFleshy,5.029199839,5
Magnoliophyta spp,5.029199839,5
Millepora spp,5.029199839,3
Other species,5.029199839,1.5
Porifera spp,5.029199839,2.5
Rhodophyta cru. spp,5.029199839,3.5
Turf Algae Free of Sediment,5.029199839,29
1204,3.027679903,6.833333333
Agaricia agaricites,3.047999902,1
Bare Substrate,3.047999902,4.5
Dictyota spp,3.047999902,24.5
Gorgonians,3.047999902,5.5
Halimeda spp,3.047999902,7.5
MacroOtherFleshy,3.352799893,2
Millepora spp,3.047999902,2
Orbicella faveolata,2.743199912,1
Other species,3.047999902,1
Palythoa spp,3.047999902,1.5
Peysonnellia,3.047999902,7.5
Porifera spp,2.743199912,2
Porites astreoides,3.047999902,2.5
Rhodophyta cru. spp,3.047999902,9
Turf Algae Free of Sediment,3.047999902,31
1205,3.165230668,7.961538462
Dictyota spp,3.200399898,13.5
Gorgonians,3.200399898,5
Halimeda spp,3.200399898,4
MacroOtherFleshy,3.047999902,2
Millepora spp,3.200399898,2
Montastraea cavernosa,3.047999902,2
Other species,3.200399898,2.5
Palythoa spp,3.200399898,7.5
Peysonnellia,3.200399898,7.5
Porifera spp,3.047999902,3
Porites astreoides,3.200399898,11
Rhodophyta cru. spp,3.200399898,10
Turf Algae Free of Sediment,3.200399898,33.5
1207,4.733364555,6.058823529
Agaricia agaricites,4.876799844,1
Bare Substrate,4.724399849,16.5
Cyanophyta spp,4.724399849,3.5
Dictyota spp,4.724399849,37
Erythropodium caribaeorum,4.876799844,1
Gorgonians,4.724399849,2
MacroOtherFleshy,4.876799844,1
Millepora spp,4.724399849,1.5
Other species,4.571999854,2
Palythoa spp,4.724399849,5
Peysonnellia,4.724399849,1.5
Porifera spp,4.724399849,4
Porites astreoides,4.724399849,1
Porites porites,4.571999854,1
Rhodophyta cru. spp,4.724399849,5.5
Siderastrea siderea,4.724399849,2
Turf Algae Free of Sediment,4.724399849,17.5
1208,4.067907562,8.153846154
Bare Substrate,4.419599859,1
Cyanophyta spp,3.657599883,1
Dictyota spp,4.038599871,14.5
Gorgonians,4.038599871,2
Halimeda spp,4.038599871,9
MacroOtherFleshy,4.419599859,3
Millepora spp,3.657599883,3
Peysonnellia,4.038599871,1.5
Porifera spp,4.038599871,1
Porites astreoides,4.038599871,5
Rhodophyta cru. spp,4.038599871,9
Siderastrea siderea,4.419599859,4
Turf Algae Free of Sediment,4.038599871,52
1209,2.285999927,12.8125
Bare Substrate,2.285999927,9.5
Dictyota spp,2.285999927,3.5
Halimeda spp,2.285999927,2
MacroOtherCalcareous,2.285999927,2
MacroOtherFleshy,2.285999927,60.5
Peysonnellia,2.285999927,1
Rhodophyta cru. spp,2.285999927,2
Turf Algae Free of Sediment,2.285999927,22
1210,4.05129987,8.958333333
Agaricia agaricites,4.114799868,1
Bare Substrate,4.114799868,9
Dictyota spp,4.038599871,10.5
Gorgonians,4.038599871,5
Halimeda spp,4.114799868,4
Millepora spp,4.038599871,3
Other species,4.038599871,4
Palythoa spp,3.962399873,1
Peysonnellia,4.038599871,3.5
Porifera spp,4.038599871,2
Rhodophyta cru. spp,4.038599871,19
Turf Algae Free of Sediment,4.038599871,45.5
1211,11.73479962,6.866666667
Agaricia agaricites,11.42999963,1
Bare Substrate,11.81099962,7.5
Dictyota spp,11.81099962,32
Encrusting gorgonian,11.81099962,1.5
Erythropodium caribaeorum,11.81099962,6.5
Gorgonians,11.42999963,1
Lobophora spp,11.81099962,4.5
Millepora spp,12.19199961,2
Other species,11.81099962,4.5
Peysonnellia,11.81099962,1.5
Porifera spp,11.81099962,5
Rhodophyta cru. spp,11.81099962,6.5
Siderastrea siderea,11.42999963,1
Stephanocoenia intersepta,11.42999963,1
Turf Algae Free of Sediment,11.81099962,27.5
1212,5.821679814,8
Agaricia agaricites,6.2483998,1
Bare Substrate,6.2483998,7
Cyanophyta spp,6.2483998,1
Dictyota spp,5.714999817,7
Erythropodium caribaeorum,6.2483998,3
Gorgonians,5.714999817,1.5
Halimeda spp,5.181599834,1
Meandrina meandrites,6.2483998,3
Millepora spp,5.714999817,6.5
Other species,6.2483998,1
Palythoa spp,5.714999817,3.5
Peysonnellia,5.181599834,6
Porifera spp,5.714999817,7.5
Porites astreoides,5.714999817,1.5
Rhodophyta cru. spp,5.714999817,19.5
Siderastrea siderea,6.2483998,1
Turf Algae Free of Sediment,5.714999817,41
1213,8.534399727,11.11111111
Bare Substrate,8.534399727,33
Dictyota spp,8.534399727,10
Gorgonians,8.534399727,1
MacroOtherCalcareous,8.534399727,2
Millepora spp,8.534399727,1
Montastraea cavernosa,8.534399727,2
Palythoa spp,8.534399727,3
Porifera spp,8.534399727,8
Turf Algae with Sediment,8.534399727,40
1214,3.047999902,20
Bare Substrate,3.047999902,63.5
MacroOtherCalcareous,3.047999902,1
MacroOtherFleshy,3.047999902,16.5
Rhodophyta cru. spp,3.047999902,1
Turf Algae Free of Sediment,3.047999902,18
1215,11.81607962,7.133333333
Bare Substrate,11.81099962,11
Dichocoenia stokesii,11.88719962,1
Dictyota spp,11.81099962,27.5
Encrusting gorgonian,11.81099962,1
Gorgonians,11.81099962,2
Lobophora spp,11.88719962,3
Millepora spp,11.73479962,4
Montastraea cavernosa,11.73479962,1
Other species,11.73479962,1
Peysonnellia,11.88719962,1
Porifera spp,11.81099962,9
Rhodophyta cru. spp,11.88719962,1
Siderastrea siderea,11.88719962,1
Stephanocoenia intersepta,11.73479962,1
Turf Algae Free of Sediment,11.81099962,42.5
1216,11.42999963,7.5
Agaricia agaricites,11.42999963,1
Bare Substrate,11.42999963,4.5
Cyanophyta spp,11.42999963,1
Dictyota spp,11.42999963,2
Encrusting gorgonian,11.42999963,1
Erythropodium caribaeorum,11.42999963,1
Gorgonians,11.42999963,1
Millepora spp,11.42999963,1
Other species,11.42999963,2
Porifera spp,11.42999963,4
Porites divaricata,11.42999963,1
Porites porites,11.42999963,1
Rhodophyta cru. spp,11.42999963,1
Turf Algae Free of Sediment,11.42999963,83.5
1229,6.095999805,7.692307692
Bare Substrate,6.095999805,7
Cliona spp,6.095999805,1
